refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"20250101","2025","1","202501","124","CAN","Cana"Import","842","USA","USA","0","W00","World","H6","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","140547.086","true","0","false",,"49497484.017","49497484.017","4","false","true",
"20250101","2025","1","202501","152","CHL","Chi"Import","842","USA","USA","0","W00","World","H6","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","34546","false","5","u","34546","false","56385.631","true","0","false","19857735.474","19052236.313","19857735.474","4","true","false",
"20250101","2025","1","202501","191","HRV","Croat"Import","842","USA","USA","0","W00","World","H6","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","107.9","false","107.9","false","0","false","88435",,"88435","0","true","false",
"20250101","2025","1","202501","203","CZE","Czech"Import","842","USA","USA","0","W00","World","H6","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","27666.399","true","0","false","4660367","4451436","4660367","4","false","true",
"20250101","2025","1","202501","208","DNK","Denma"Import","842","USA","USA","0","W00","World","H6","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","7147","false","7147","false","0","false","1633587.725",,"1633587.725","0","true","false",
"20250101","2025","1","202501","222","SLV","El Salvad"Import","842","USA","USA","0","W00","World","H6","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","2305.74","false","2305.74","false","0","false","547479.2",,"547479.2","0","true","false",
"20250101","2025","1","202501","233","EST","Eston"Import","842","USA","USA","0","W00","World","H6","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","1307.226","false","1307.226","false","0","false","355037.52",,"355037.52","0","false","true",
"20250101","2025","1","202501","234","FRO","Faroe Is"Import","842","USA","USA","0","W00","World","H5","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","6","false","5","u","6","false","26.2","false","0","false","4336.773","3708.443","4336.773","0","false","true",
"20250101","2025","1","202501","242","FJI","Fi"Import","842","USA","USA","0","W00","World","H6","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","91","false","5","u","91","false","271.158","true","0","false","101432.098",,"101432.098","4","true","false",
"20250101","2025","1","202501","246","FIN","Finla"Import","842","USA","USA","0","W00","World","H6","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","10182.842","true","0","false","2803493.209",,"2803493.209","4","false","true",
